"9321"," Fujifilm FinePix X100","Fujifilm FinePix X100 (Reporterkamera), 12MP, opt. Sucher, 3/2, jpeg/raw/mov, F2,0/35mm","16 GB SD, Ladegeraet, 2Akkus, Manual, Etui","95","t","1218","48","12m06108","2011","1300"
"9081","Sony Nex-5 Set","Sony Alpha Nex-5, CSC Kamera, 14MP, Wechselobjektiv, HD-Video (1.920 x 1.080) in AVCHD","Objektiv 18-55mm, 2 Akkus NP-FW50, Ladegeraet, Mikrofon, Blitz, Manual, USB-Kabel, Body Case, 16GB SDHC-Card","95","f","0217","48","4712458","2010","1350"
"7254","Sony Handycam DCR-PC330E","kompakte Handycam, mini-DV, USB, Firewire","Lade/Netzgeraet, 3Akkus (FM30/50), 1GB Memorystick, Firewire-Kabel (4/6), USB-Kabel, Weitwinkelobektiv","95","t","0362","65","SN: SO110715055","2003","2216,90"
"9064","LaCie 320GB","Ext. Harddrive, 320 GB, FW800, FW400, USB2,","\n","95","t","1293","52","12038023144QR","2008","240"
"8902","JVC GC-FM1","JVC GC-FM1, SD-Camcorder, HD-Format/MPEG-4 bis 1440x1080, Foto 8MP","Manual, USB-Kabel, AV-Kabel","95","t","0830","65","GC-FM1BEU154G5999","2009","250"
"9214","Sony NEX - VG10E","Digitale HD-Kamera, Exmor HDV CMOS, 1920 x 1080, Fotomodus 14Megapix, 18-55mm Objektiv,","Netzteil, Ladegeraet, 2 Akkus (1xNP-FV70, 1xNP-FV100) USB-Kabel, HDMI-Kabel, Gegenlichtblende, Augenmuschel, 32 GB SD-Card, Windschutz, Manual, Weitwinkelobjektiv 16mm (Inv.Nr.0688)","120","f","0674","65","21102","2011","1400"
"7835","Mikrofongalgen","Mikrofongalgen 3,80m","\n","95","t","0303","61","\n","2003","\n"
"9008","Lautsprecherstativ adam hall","Lautsprecherstativ, Plexwerk","\n","95","t","0311","61","\n","2010","\n"
"9120","Panasonic PT-FW300E","LCD-Beamer Panasonic PT-FW300E, installiert in Kursraum, 3500 Ansi, Aufloesung WXGA, Kontrast 600:1, 0000h/15.11.2010","Netzkabel, Manual, Remote","128","f","0314","41","SC0520103","2010","3000"
"8646","M1 Active 320 USB","Aktive Boxen, 2x10Watt, analog und usb in","Stromkabel, USB-Kabel, Miniklinke","95","f","1356","53","A40710108900445","2008","180"
